DateTime,Precipitation Type,Snow,Snow Depth,Conditions
2024-10-15,rain,0.0,0.0,Rain - Overcast
2024-10-16,rain,0.0,0.0,Rain - Overcast
2024-10-17,rain,0.0,0.0,Rain - Partially Cloudy
2024-10-18,none,0.0,0.0,Partially cloudy
2024-10-19,none,0.0,0.0,Partially cloudy
2024-10-20,rain,0.0,0.0,Rain - Partially Cloudy
2024-10-21,rain,0.0,0.0,Rain - Overcast
2024-10-22,none,0.0,0.0,Partially cloudy
2024-10-23,rain,0.0,0.0,Rain - Partially Cloudy
2024-10-24,none,0.0,0.0,Partially cloudy
2024-10-25,rain,0.0,0.0,Rain - Partially Cloudy
2024-10-26,rain,0.0,0.0,Rain - Partially Cloudy
2024-10-27,rain,0.0,0.0,Rain - Overcast
2024-10-28,rain,0.0,0.0,Rain - Partially Cloudy
2024-10-29,none,0.0,0.0,Partially cloudy
2024-10-30,rain,0.0,0.0,Rain - Partially Cloudy
2024-10-31,rain,0.0,0.0,Rain - Overcast
2024-11-01,rain,0.0,0.0,Rain - Overcast
2024-11-02,rain,0.0,0.0,Rain - Partially Cloudy
2024-11-03,rain,0.0,0.0,Rain - Partially Cloudy
2024-11-04,rain,0.0,0.0,Rain - Partially Cloudy
2024-11-05,none,0.0,0.0,Partially cloudy
2024-11-06,none,0.0,0.0,Partially cloudy
2024-11-07,none,0.0,0.0,Partially cloudy
2024-11-08,none,0.0,0.0,Partially cloudy
2024-11-09,rain,0.0,0.0,Rain - Partially Cloudy
2024-11-10,none,0.0,0.0,Overcast
2024-11-11,rain,0.0,0.0,Rain - Overcast
2024-11-12,rain,0.0,0.0,Rain - Overcast
2024-11-13,rain,0.0,0.0,Rain - Overcast
2024-11-14,rain,0.0,0.0,Rain - Overcast
2024-11-15,rain,0.0,0.0,Rain - Partially Cloudy
2024-11-16,rain,0.0,0.0,Rain - Partially Cloudy
2024-11-17,rain,0.0,0.0,Rain - Overcast
2024-11-18,rain,0.0,0.0,Rain - Overcast
2024-11-19,rain,0.0,0.0,Rain - Overcast
2024-11-20,rain,0.0,0.0,Rain - Overcast
2024-11-21,rain,0.0,0.0,Rain - Overcast
2024-11-22,rain,0.0,0.0,Rain - Overcast
2024-11-23,rain,0.0,0.0,Rain - Overcast
2024-11-24,rain,0.0,0.0,Rain - Overcast
2024-11-25,rain,0.0,0.0,Rain - Partially Cloudy
2024-11-26,rain,0.0,0.0,Rain - Partially Cloudy
2024-11-27,none,0.0,0.0,Overcast
2024-11-28,none,0.0,0.0,Overcast
2024-11-29,none,0.0,0.0,Overcast
2024-11-30,none,0.0,0.0,Overcast
2024-12-01,none,0.0,0.0,Overcast
2024-12-02,none,0.0,0.0,Overcast
2024-12-03,none,0.0,0.0,Overcast
2024-12-04,none,0.0,0.0,Overcast
2024-12-05,none,0.0,0.0,Overcast
2024-12-06,none,0.0,0.0,Overcast
2024-12-07,rain,0.0,0.0,Rain - Partially Cloudy
2024-12-08,rain,0.0,0.0,Rain - Partially Cloudy
2024-12-09,none,0.0,0.0,Overcast
2024-12-10,none,0.0,0.0,Overcast
2024-12-11,rain,0.0,0.0,Rain - Overcast
2024-12-12,rain,0.0,0.0,Rain - Overcast
2024-12-13,rain,0.0,0.0,Rain - Overcast
2024-12-14,rain,0.0,0.0,Rain - Overcast
2024-12-15,rain,0.0,0.0,Rain - Overcast
2024-12-16,rain,0.0,0.0,Rain - Overcast
2024-12-17,rain,0.0,0.0,Rain - Overcast
2024-12-18,rain,0.0,0.0,Rain - Partially Cloudy
2024-12-19,rain,0.0,0.0,Rain - Partially Cloudy
2024-12-20,rain,0.0,0.0,Rain - Overcast
2024-12-21,rain,0.0,0.0,Rain - Partially Cloudy
2024-12-22,rain,0.0,0.0,Rain - Partially Cloudy
2024-12-23,"rain,snow",0.0,0.0,"Snow, Rain, Partially cloudy"
2024-12-24,rain,0.0,0.0,Rain - Partially Cloudy
2024-12-25,rain,0.0,0.0,Rain - Partially Cloudy
2024-12-26,rain,0.0,0.0,Rain - Overcast
2024-12-27,rain,0.0,0.0,Rain - Overcast
2024-12-28,rain,0.0,0.0,Rain - Overcast
2024-12-29,rain,0.0,0.0,Rain - Overcast
2024-12-30,rain,0.0,0.0,Rain - Partially Cloudy
2024-12-31,rain,0.0,0.0,Rain - Partially Cloudy
2025-01-01,rain,0.0,0.0,Rain - Partially Cloudy
2025-01-02,rain,0.0,0.0,Rain - Partially Cloudy
2025-01-03,rain,0.0,0.0,Rain - Partially Cloudy
2025-01-04,rain,0.0,0.0,Rain - Partially Cloudy
2025-01-05,rain,0.0,0.0,Rain - Partially Cloudy
2025-01-06,rain,0.0,0.0,Rain - Partially Cloudy
2025-01-07,none,0.0,0.0,Partially cloudy
2025-01-08,none,0.0,0.0,Partially cloudy
2025-01-09,none,0.0,0.0,Partially cloudy
2025-01-10,rain,0.0,0.0,Rain - Partially Cloudy
2025-01-11,rain,0.0,0.0,Rain - Partially Cloudy
2025-01-12,rain,0.0,0.0,Rain - Partially Cloudy
2025-01-13,none,0.0,0.0,Partially cloudy
2025-01-14,none,0.0,0.0,Partially cloudy
2025-01-15,none,0.0,0.0,Partially cloudy
2025-01-16,rain,0.0,0.0,Rain - Partially Cloudy
2025-01-17,none,0.0,0.0,Partially cloudy
2025-01-18,none,0.0,0.0,Partially cloudy
2025-01-19,none,0.0,0.0,Partially cloudy
2025-01-20,none,0.0,0.0,Partially cloudy
2025-01-21,none,0.0,0.0,Partially cloudy
2025-01-22,none,0.0,0.0,Clear
2025-01-23,none,0.0,0.0,Partially cloudy
2025-01-24,none,0.0,0.0,Partially cloudy
2025-01-25,none,0.0,0.0,Clear
2025-01-26,none,0.0,0.0,Clear
2025-01-27,none,0.0,0.0,Clear
2025-01-28,none,0.0,0.0,Clear
2025-01-29,none,0.0,0.0,Clear
2025-01-30,none,0.0,0.0,Partially cloudy
2025-01-31,rain,0.0,0.0,Rain - Partially Cloudy
2025-02-01,rain,0.0,0.0,Rain - Partially Cloudy
2025-02-02,"rain,snow",0.0,0.0,"Snow, Rain, Partially cloudy"
2025-02-03,"rain,snow",0.0,0.0,"Snow, Rain, Partially cloudy"
2025-02-04,none,0.0,0.0,Partially cloudy
2025-02-05,"rain,snow",0.1,0.0,"Snow, Rain, Partially cloudy"
2025-02-06,rain,0.0,0.0,Rain - Partially Cloudy
2025-02-07,rain,0.0,0.0,Rain - Partially Cloudy
2025-02-08,"rain,snow",0.2,0.0,"Snow, Rain, Partially cloudy"
2025-02-09,"rain,snow",0.0,0.0,"Snow, Rain, Partially cloudy"
2025-02-10,rain,0.0,0.0,Rain - Partially Cloudy
2025-02-11,none,0.0,0.0,Clear
2025-02-12,none,0.0,0.0,Partially cloudy
2025-02-13,"rain,snow",0.0,0.5,"Snow, Rain, Partially cloudy"
2025-02-14,"rain,snow",0.0,0.0,"Snow, Rain, Partially cloudy"
2025-02-15,rain,0.0,0.0,Rain - Partially Cloudy
2025-02-16,rain,0.0,0.0,Rain - Partially Cloudy
2025-02-17,rain,0.0,0.0,Rain - Partially Cloudy
2025-02-18,rain,0.0,0.0,Rain - Partially Cloudy
2025-02-19,rain,0.0,0.0,Rain - Partially Cloudy
2025-02-20,none,0.0,0.0,Partially cloudy
2025-02-21,none,0.0,0.0,Partially cloudy
2025-02-22,rain,0.0,0.0,Rain - Partially Cloudy
2025-02-23,rain,0.0,0.0,Rain - Partially Cloudy
2025-02-24,rain,0.0,0.0,Rain - Partially Cloudy
2025-02-25,rain,0.0,0.0,Rain - Partially Cloudy
2025-02-26,none,0.0,0.0,Partially cloudy
2025-02-27,none,0.0,0.0,Clear
2025-02-28,none,0.0,0.0,Clear
2025-03-01,none,0.0,0.0,Partially cloudy
2025-03-02,rain,0.0,0.0,Rain - Partially Cloudy
2025-03-03,rain,0.0,0.0,Rain - Partially Cloudy
2025-03-04,rain,0.0,0.0,Rain - Partially Cloudy
2025-03-05,none,0.0,0.0,Partially cloudy
2025-03-06,none,0.0,0.0,Partially cloudy
2025-03-07,none,0.0,0.0,Partially cloudy
2025-03-08,none,0.0,0.0,Partially cloudy
2025-03-09,none,0.0,0.0,Partially cloudy
2025-03-10,rain,0.0,0.0,Rain - Partially Cloudy
2025-03-11,none,0.0,0.0,Partially cloudy
2025-03-12,rain,0.0,0.0,Rain - Partially Cloudy
2025-03-13,rain,0.8,0.0,Rain - Partially Cloudy
2025-03-14,rain,0.0,0.0,Rain - Partially Cloudy
2025-03-15,rain,0.0,0.0,Rain - Partially Cloudy
2025-03-16,rain,0.3,0.0,Rain - Partially Cloudy
2025-03-17,rain,0.0,0.0,Rain - Partially Cloudy
2025-03-18,rain,0.0,0.0,Rain - Partially Cloudy
2025-03-19,rain,0.0,0.0,Rain - Partially Cloudy
2025-03-20,rain,0.0,0.0,Rain - Partially Cloudy
2025-03-21,rain,0.0,0.0,Rain - Partially Cloudy
2025-03-22,rain,0.0,0.0,Rain - Partially Cloudy
2025-03-23,rain,0.0,0.0,Rain - Partially Cloudy
2025-03-24,none,0.0,0.0,Partially cloudy
2025-03-25,none,0.0,0.0,Partially cloudy
2025-03-26,rain,0.0,0.0,Rain - Partially Cloudy
2025-03-27,rain,0.0,0.0,Rain - Partially Cloudy
2025-03-28,rain,0.0,0.0,Rain - Partially Cloudy
2025-03-29,none,0.0,0.0,Partially cloudy
2025-03-30,rain,0.0,0.0,Rain - Partially Cloudy
2025-03-31,rain,0.0,0.0,Rain - Partially Cloudy
2025-04-01,rain,0.0,0.0,Rain - Partially Cloudy
2025-04-02,rain,0.0,0.0,Rain - Partially Cloudy
2025-04-03,none,0.0,0.0,Partially cloudy
2025-04-04,none,0.0,0.0,Partially cloudy
2025-04-05,none,0.0,0.0,Partially cloudy
2025-04-06,rain,0.0,0.0,Rain - Partially Cloudy
2025-04-07,rain,0.0,0.0,Rain - Partially Cloudy
2025-04-08,rain,0.0,0.0,Rain - Partially Cloudy
2025-04-09,rain,0.0,0.0,Rain - Partially Cloudy
2025-04-10,rain,0.0,0.0,Rain - Partially Cloudy
2025-04-11,rain,0.0,0.0,Rain - Partially Cloudy
2025-04-12,none,0.0,0.0,Partially cloudy
2025-04-13,none,0.0,0.0,Clear
2025-04-14,none,0.0,0.0,Clear
2025-04-15,none,0.0,0.0,Partially cloudy
2025-04-16,none,0.0,0.0,Clear
2025-04-17,none,0.0,0.0,Clear
2025-04-18,none,0.0,0.0,Clear
2025-04-19,none,0.0,0.0,Partially cloudy
2025-04-20,none,0.0,0.0,Partially cloudy
2025-04-21,none,0.0,0.0,Partially cloudy
2025-04-22,none,0.0,0.0,Clear
2025-04-23,none,0.0,0.0,Clear
2025-04-24,none,0.0,0.0,Partially cloudy
2025-04-25,rain,0.0,0.0,Rain - Partially Cloudy
2025-04-26,none,0.0,0.0,Partially cloudy
2025-04-27,none,0.0,0.0,Partially cloudy
2025-04-28,none,0.0,0.0,Partially cloudy
2025-04-29,rain,0.0,0.0,Rain - Partially Cloudy
2025-04-30,none,0.0,0.0,Clear
2025-05-01,none,0.0,0.0,Clear
2025-05-02,none,0.0,0.0,Partially cloudy
2025-05-03,rain,0.0,0.0,Rain - Partially Cloudy
2025-05-04,none,0.0,0.0,Clear
2025-05-05,none,0.0,0.0,Clear
2025-05-06,none,0.0,0.0,Partially cloudy
2025-05-07,none,0.0,0.0,Partially cloudy
2025-05-08,none,0.0,0.0,Partially cloudy
2025-05-09,none,0.0,0.0,Partially cloudy
2025-05-10,none,0.0,0.0,Partially cloudy
2025-05-11,rain,0.0,0.0,Rain - Partially Cloudy
2025-05-12,rain,0.0,0.0,Rain - Partially Cloudy
2025-05-13,rain,0.0,0.0,Rain - Partially Cloudy
2025-05-14,rain,0.0,0.0,Rain - Partially Cloudy
2025-05-15,rain,0.0,0.0,Rain - Partially Cloudy
2025-05-16,none,0.0,0.0,Partially cloudy
2025-05-17,rain,0.0,0.0,Rain - Partially Cloudy
2025-05-18,none,0.0,0.0,Partially cloudy
2025-05-19,rain,0.0,0.0,Rain - Partially Cloudy
2025-05-20,rain,0.0,0.0,Rain - Partially Cloudy
2025-05-21,rain,0.0,0.0,Rain - Partially Cloudy
2025-05-22,rain,0.0,0.0,Rain - Partially Cloudy
2025-05-23,none,0.0,0.0,Partially cloudy
2025-05-24,none,0.0,0.0,Clear
2025-05-25,none,0.0,0.0,Partially cloudy
2025-05-26,none,0.0,0.0,Partially cloudy
2025-05-27,none,0.0,0.0,Clear
2025-05-28,none,0.0,0.0,Partially cloudy
2025-05-29,rain,0.0,0.0,Rain - Partially Cloudy
2025-05-30,none,0.0,0.0,Clear
2025-05-31,none,0.0,0.0,Partially cloudy
2025-06-01,none,0.0,0.0,Clear
2025-06-02,none,0.0,0.0,Clear
2025-06-03,none,0.0,0.0,Clear
2025-06-04,none,0.0,0.0,Partially cloudy
2025-06-05,none,0.0,0.0,Partially cloudy
2025-06-06,rain,0.0,0.0,Rain - Partially Cloudy
2025-06-07,none,0.0,0.0,Clear
2025-06-08,none,0.0,0.0,Clear
2025-06-09,none,0.0,0.0,Clear
2025-06-10,none,0.0,0.0,Partially cloudy
2025-06-11,none,0.0,0.0,Partially cloudy
2025-06-12,none,0.0,0.0,Partially cloudy
2025-06-13,none,0.0,0.0,Partially cloudy
2025-06-14,none,0.0,0.0,Partially cloudy
2025-06-15,none,0.0,0.0,Clear
2025-06-16,none,0.0,0.0,Partially cloudy
2025-06-17,none,0.0,0.0,Clear
2025-06-18,none,0.0,0.0,Partially cloudy
2025-06-19,none,0.0,0.0,Partially cloudy
2025-06-20,rain,0.0,0.0,Rain - Partially Cloudy
2025-06-21,rain,0.0,0.0,Rain - Partially Cloudy
2025-06-22,rain,0.0,0.0,Rain - Partially Cloudy
2025-06-23,none,0.0,0.0,Partially cloudy
2025-06-24,none,0.0,0.0,Partially cloudy
2025-06-25,none,0.0,0.0,Partially cloudy
2025-06-26,none,0.0,0.0,Partially cloudy
2025-06-27,none,0.0,0.0,Partially cloudy
2025-06-28,none,0.0,0.0,Clear
2025-06-29,none,0.0,0.0,Clear
2025-06-30,none,0.0,0.0,Clear
2025-07-01,none,0.0,0.0,Partially cloudy
2025-07-02,none,0.0,0.0,Clear
2025-07-03,none,0.0,0.0,Partially cloudy
2025-07-04,none,0.0,0.0,Partially cloudy
2025-07-05,none,0.0,0.0,Clear
2025-07-06,none,0.0,0.0,Clear
2025-07-07,none,0.0,0.0,Clear
2025-07-08,none,0.0,0.0,Clear
2025-07-09,none,0.0,0.0,Partially cloudy
2025-07-10,none,0.0,0.0,Partially cloudy
2025-07-11,none,0.0,0.0,Clear
2025-07-12,none,0.0,0.0,Clear
2025-07-13,none,0.0,0.0,Clear
2025-07-14,none,0.0,0.0,Clear
2025-07-15,none,0.0,0.0,Clear
2025-07-16,none,0.0,0.0,Clear
2025-07-17,none,0.0,0.0,Clear
2025-07-18,none,0.0,0.0,Clear
2025-07-19,none,0.0,0.0,Clear
2025-07-20,none,0.0,0.0,Partially cloudy
2025-07-21,none,0.0,0.0,Partially cloudy
2025-07-22,none,0.0,0.0,Clear
2025-07-23,none,0.0,0.0,Clear
2025-07-24,none,0.0,0.0,Clear
2025-07-25,none,0.0,0.0,Clear
2025-07-26,none,0.0,0.0,Partially cloudy
2025-07-27,none,0.0,0.0,Partially cloudy
2025-07-28,none,0.0,0.0,Clear
2025-07-29,none,0.0,0.0,Clear
2025-07-30,none,0.0,0.0,Partially cloudy
2025-07-31,none,0.0,0.0,Partially cloudy
2025-08-01,none,0.0,0.0,Clear
2025-08-02,none,0.0,0.0,Clear
2025-08-03,none,0.0,0.0,Partially cloudy
2025-08-04,none,0.0,0.0,Partially cloudy
2025-08-05,none,0.0,0.0,Partially cloudy
2025-08-06,rain,0.0,0.0,Rain - Partially Cloudy
2025-08-07,rain,0.0,0.0,Rain - Partially Cloudy
2025-08-08,none,0.0,0.0,Clear
2025-08-09,none,0.0,0.0,Partially cloudy
2025-08-10,none,0.0,0.0,Clear
2025-08-11,none,0.0,0.0,Clear
2025-08-12,none,0.0,0.0,Clear
2025-08-13,none,0.0,0.0,Clear
2025-08-14,none,0.0,0.0,Partially cloudy
2025-08-15,none,0.0,0.0,Partially cloudy
2025-08-16,rain,0.0,0.0,Rain - Partially Cloudy
2025-08-17,none,0.0,0.0,Partially cloudy
2025-08-18,none,0.0,0.0,Partially cloudy
2025-08-19,none,0.0,0.0,Partially cloudy
2025-08-20,none,0.0,0.0,Clear
2025-08-21,none,0.0,0.0,Clear
2025-08-22,none,0.0,0.0,Clear
2025-08-23,none,0.0,0.0,Partially cloudy
2025-08-24,none,0.0,0.0,Partially cloudy
2025-08-25,none,0.0,0.0,Partially cloudy
2025-08-26,none,0.0,0.0,Partially cloudy
2025-08-27,none,0.0,0.0,Clear
2025-08-28,none,0.0,0.0,Clear
2025-08-29,none,0.0,0.0,Partially cloudy
2025-08-30,none,0.0,0.0,Partially cloudy
2025-08-31,none,0.0,0.0,Partially cloudy
2025-09-01,none,0.0,0.0,Partially cloudy
2025-09-02,none,0.0,0.0,Clear
2025-09-03,none,0.0,0.0,Partially cloudy
2025-09-04,rain,0.0,0.0,Rain
2025-09-05,rain,0.0,0.0,Rain - Partially Cloudy
2025-09-06,rain,0.0,0.0,Rain - Partially Cloudy
2025-09-07,none,0.0,0.0,Partially cloudy
2025-09-08,rain,0.0,0.0,Rain - Partially Cloudy
2025-09-09,rain,0.0,0.0,Rain - Partially Cloudy
2025-09-10,none,0.0,0.0,Partially cloudy
2025-09-11,none,0.0,0.0,Partially cloudy
2025-09-12,none,0.0,0.0,Partially cloudy
2025-09-13,none,0.0,0.0,Clear
2025-09-14,rain,0.0,0.0,Rain - Partially Cloudy
2025-09-15,none,0.0,0.0,Clear
2025-09-16,none,0.0,0.0,Clear
2025-09-17,none,0.0,0.0,Clear
2025-09-18,none,0.0,0.0,Clear
2025-09-19,none,0.0,0.0,Clear
2025-09-20,none,0.0,0.0,Clear
2025-09-21,rain,0.0,0.0,Rain - Partially Cloudy
2025-09-22,none,0.0,0.0,Clear
2025-09-23,none,0.0,0.0,Clear
2025-09-24,none,0.0,0.0,Clear
2025-09-25,none,0.0,0.0,Clear
2025-09-26,none,0.0,0.0,Clear
2025-09-27,none,0.0,0.0,Clear
2025-09-28,none,0.0,0.0,Partially cloudy
2025-09-29,rain,0.0,0.0,Rain - Partially Cloudy
2025-09-30,rain,0.0,0.0,Rain - Partially Cloudy
2025-10-01,rain,0.0,0.0,Rain - Partially Cloudy
2025-10-02,rain,0.0,0.0,Rain - Partially Cloudy
2025-10-03,none,0.0,0.0,Partially cloudy
2025-10-04,rain,0.0,0.0,Rain - Partially Cloudy
2025-10-05,none,0.0,0.0,Clear
2025-10-06,none,0.0,0.0,Clear
2025-10-07,none,0.0,0.0,Clear
2025-10-08,none,0.0,0.0,Partially cloudy
2025-10-09,rain,0.0,0.0,Rain - Partially Cloudy
2025-10-10,rain,0.0,0.0,Rain - Partially Cloudy
2025-10-11,rain,0.0,0.0,Rain - Partially Cloudy
2025-10-12,rain,0.0,0.0,Rain - Partially Cloudy
2025-10-13,rain,0.0,0.0,Rain - Partially Cloudy
2025-10-14,none,0.0,0.0,Clear
2025-10-15,none,0.0,0.0,Clear
2025-10-16,none,0.0,0.0,Clear
2025-10-17,none,0.0,0.0,Partially cloudy
2025-10-18,none,0.0,0.0,Clear
2025-10-19,rain,0.0,0.0,Rain - Partially Cloudy
2025-10-20,none,0.0,0.0,Clear
2025-10-21,none,0.0,0.0,Clear
2025-10-22,none,0.0,0.0,Clear
2025-10-23,none,0.0,0.0,Partially cloudy
2025-10-24,rain,0.0,0.0,Rain - Partially Cloudy
2025-10-25,rain,0.0,0.0,Rain - Partially Cloudy
2025-10-26,rain,0.0,0.0,Rain - Partially Cloudy
2025-10-27,rain,0.0,0.0,Rain - Partially Cloudy
2025-10-28,none,0.0,0.0,Partially cloudy
2025-10-29,rain,0.0,0.0,Rain
2025-10-30,none,0.0,0.0,Clear
2025-10-31,none,0.0,0.0,Partially cloudy
2025-11-01,rain,0.0,0.0,Rain - Partially Cloudy
2025-11-02,none,0.0,0.0,Partially cloudy
2025-11-03,rain,0.0,0.0,Rain - Partially Cloudy
2025-11-04,rain,0.0,0.0,Rain - Partially Cloudy
2025-11-05,rain,0.0,0.0,Rain - Partially Cloudy
2025-11-06,rain,0.0,0.0,Rain - Partially Cloudy
2025-11-07,rain,0.0,0.0,Rain
2025-11-08,none,0.0,0.0,Partially cloudy
2025-11-09,none,0.0,0.0,Partially cloudy
2025-11-10,none,0.0,0.0,Partially cloudy
2025-11-11,rain,0.0,0.0,Rain - Partially Cloudy
2025-11-12,rain,0.0,0.0,Rain - Partially Cloudy
2025-11-13,rain,0.0,0.0,Rain - Partially Cloudy
2025-11-14,rain,0.0,0.0,Rain - Partially Cloudy
2025-11-15,none,0.0,0.0,Partially cloudy
2025-11-16,rain,0.0,0.0,Rain - Partially Cloudy
2025-11-17,rain,0.0,0.0,Rain - Partially Cloudy
2025-11-18,none,0.0,0.0,Partially cloudy
2025-11-19,rain,0.0,0.0,Rain - Partially Cloudy
2025-11-20,rain,0.0,0.0,Rain - Partially Cloudy
2025-11-21,none,0.0,0.0,Partially cloudy
2025-11-22,none,0.0,0.0,Partially cloudy
2025-11-23,rain,0.0,0.0,Rain - Partially Cloudy
2025-11-24,rain,0.0,0.0,Rain - Partially Cloudy
2025-11-25,rain,0.0,0.0,Rain - Partially Cloudy
2025-11-26,rain,0.0,0.0,Rain - Partially Cloudy
2025-11-27,rain,0.0,0.0,Rain - Partially Cloudy
2025-11-28,rain,0.0,0.0,Rain - Partially Cloudy
2025-11-29,rain,0.0,0.0,Rain - Partially Cloudy
2025-11-30,none,0.0,0.0,Partially cloudy
2025-12-01,none,0.0,0.0,Partially cloudy
2025-12-02,none,0.0,0.0,Partially cloudy
2025-12-03,none,0.0,0.0,Partially cloudy
2025-12-04,rain,0.0,0.0,Rain - Partially Cloudy
2025-12-05,rain,0.0,0.0,Rain - Partially Cloudy
2025-12-06,rain,0.0,0.0,Rain - Partially Cloudy
2025-12-07,rain,0.0,0.0,Rain - Partially Cloudy
2025-12-08,rain,0.0,0.0,Rain - Partially Cloudy
2025-12-09,rain,0.0,0.0,Rain - Partially Cloudy
2025-12-10,none,0.0,0.0,Partially cloudy
2025-12-11,none,0.0,0.0,Partially cloudy
2025-12-12,none,0.0,0.0,Partially cloudy
2025-12-13,none,0.0,0.0,Partially cloudy
2025-12-14,none,0.0,0.0,Partially cloudy
2025-12-15,rain,0.0,0.0,Rain - Partially Cloudy
2025-12-16,rain,0.0,0.0,Rain - Partially Cloudy
2025-12-17,rain,0.0,0.0,Rain - Partially Cloudy
